Region,People Impacted
Gonja Central,2384
Ga South,1689
Keta Municipal,1487
East Gonja,1463
Accra Metropolis,1276
Ada West,989
Ketu South,582
Komenda Edna Eguafo / Abirem,529
Ada East,410
Krachi East,405
Sene East,374
Krachi Nchumuru,359
Kwahu Afram Plains North,330
Jomoro,261
Amansie West,217
Krachi West,206
Kpandai,176
Ekumfi,165
Shama,162
Kintampo North,154
Cape Coast Metro,145
Kwahu Afram Plains South,126
South Dayi,98
Mfantsiman,93
Atwima Mponua,90
Nkwanta South,88
Amansie Central,88
West Mamprusi,87
Central Tongu,79
Asuogyaman,78
Upper Denkyira West,66
South Tongu,64
Obuasi Municipal,60
Savelugu Nanton,58
Atiwa,54
Twifo Ati-Morkwa,52
Sefwi Bibiani / Anhwiaso Bekwai,48
Pru,47
Tema Metropolis,45
Prestea / Huni Valley,42
Sene West,40
Builsa North,40
Ahanta West,37
Wassa Amenfi Central,31
Mamprugu Moagduri,30
Nanumba North,30
Aowin,28
Nkwanta North,27
Gomoa West,27
Yendi Municipal,26
Wassa Amenfi East,25
North Tongu,25
Nzema East,24
Kwahu South,24
Kwahu South,24
Kwahu South,24
North Gonja,22
Kasena Nankana East,22
Kasena Nankana East,22
Kasena Nankana East,22
Wa West,21
Ellembelle,20
Fanteakwa,20
Upper Manya,19
Ejisu Juaben,19
Wassa East,18
Kumbumgu,18
Bosomtwe / Atwima / Kwanwoma,18
Shai Osu Doku,18
Biakoye,17
Wa East,17
Saboba,16
Ningo Prampram,16
Banda,16
Adansi South,15
Bole,14
Birim North,13
Tamale North Sub Metro,12
Agona East,12
Asante Akim Central Municipal,11
Wassa Amenfi West,10
Kpone Katamanso,10
Gomoa East,10
Akatsi South,9
Kwaebibirem,9
Garu Tempane,9
Ga Central Municipal,9
Tarkwa Nsuaem,8
Nadowli / Kaleo,8
Builsa South,8
La Nkwantanang Madina,8
Binduri,7
Jirapa,6
Lower Manya,6
Sagnerigu,6
Daffiama Bussie,4
Adenta,4
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Sekondi Takoradi,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Ho West,0
Kpando Municipal,0
Afadzato South,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
North Dayi,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Lawra,0
Nandom,0
Sissala East,0
Sissala  West,0
Lambussie Karni,0
Wa Municipal,0
Bunkpurugu Yonyo,0
Chereponi,0
Mamprusi East,0
Sawla / Tuna / Kalba,0
West Gonja,0
Denkyembour,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
New Juaben Municipal,0
Kwahu West,0
Tolon,0
Tatale,0
Nanumba South,0
Zabzugu,0
Mion,0
Gushiegu,0
Karaga,0
Mion,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Sekyere East,0
Offinso North,0
Adansi North,0
Sekyere Central,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Kma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Kasena Nankana West,0
Kasena Nankana West,0
Bawku West,0
Pusiga,0
Bongo,0
Bolgatanga Municipal,0
Bawku Municipal,0
Talensi,0
Nabdam,0
Ledzokuku / Krowor,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Effutu,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
