Region,Avg Impact Per Year - Pop
Abura / Asebu / Kwamankese,0.0
Kwabre,0.0
Kwahu East,0.0
Kwahu West,0.0
La Dade Kotopon,0.0
Lambussie Karni,0.0
Lawra,0.0
Kpando Municipal,0.0
Ledzokuku / Krowor,0.0
Mamprusi East,0.0
Mion,0.0
Mpohor,0.0
Nabdam,0.0
Nandom,0.0
Nanumba South,0.0
Mampong Municipal,0.0
Kma,0.0
Kintampo South,0.0
Yilo Krobo,0.0
Ejura Sekye Dumase,0.0
Ga East,0.0
Ga West,0.0
Gushiegu,0.0
Ho Municipal,0.0
Ho West,0.0
Hohoe Municipal,0.0
Jaman North,0.0
Jaman South,0.0
Jasikan,0.0
Juabeso,0.0
Kadjebi,0.0
Karaga,0.0
Kasena Nankana West,0.0
Ketu North,0.0
New Juaben Municipal,0.0
Nkoranza North,0.0
Nkoranza South,0.0
North Dayi,0.0
Tain,0.0
Talensi,0.0
Tano North,0.0
Tano South,0.0
Tatale,0.0
Techiman Municipal,0.0
Techiman North,0.0
Tolon,0.0
Twifo Lower Denkyira,0.0
Upper Denkyira East,0.0
Upper West Akim,0.0
Wa Municipal,0.0
Wenchi,0.0
West Akim,0.0
West Gonja,0.0
Sunyani West,0.0
Effutu,0.0
Sunyani Municipal,0.0
Suaman,0.0
Nsawam Adoagyiri,0.0
Offinso Municipal,0.0
Offinso North,0.0
Pusiga,0.0
Sawla / Tuna / Kalba,0.0
Sefwi Akontombra,0.0
Sefwi-Wiawso,0.0
Sekondi Takoradi,0.0
Sekyere Afram Plains North,0.0
Sekyere Central,0.0
Sekyere East,0.0
Sekyere Kumawu,0.0
Sekyere South,0.0
Sissala  West,0.0
Sissala East,0.0
Suhum Municipal,0.0
East Akim,0.0
Zabzugu,0.0
Dormaa Municipal,0.0
Assin South,0.0
Asunafo North,0.0
Asunafo South,0.0
Asutifi North,0.0
Dormaa West,0.0
Atebubu Amantin,0.0
Atwima Kwanwoma,0.0
Atwima Nwabiagya,0.0
Awutu Senya East Municipal,0.0
Awutu Senya West,0.0
Ayensuano,0.0
Bawku Municipal,0.0
Bawku West,0.0
Bekwai Municipal,0.0
Berekum,0.0
Assin North,0.0
Bia East,0.0
Asokore Mampong Municipal,0.0
Ashaiman,0.0
Adaklu,0.0
Adansi North,0.0
Afadzato South,0.0
Afigya Kwabre,0.0
Agona West,0.0
Agotime Ziope,0.0
Ahafo Ano North,0.0
Ahafo Ano South,0.0
Ajumako / Enyan / Esiam,0.0
Akatsi North,0.0
Akwapem North,0.0
Akwapem South,0.0
Akyem Mansa,0.0
Asante Akim North,0.0
Asante Akim South,0.0
Asikuma / Odoben / Brakwa,0.0
Bia West,0.0
Asutifi South,0.0
Bosome Freho,0.0
Bolgatanga Municipal,0.0
Bodi,0.0
Bunkpurugu Yonyo,0.0
Dormaa East,0.0
Birim South,0.0
Birim Municipal,0.0
Chereponi,0.0
Bongo,0.0
Denkyembour,0.0
Daffiama Bussie,0.2
Sagnerigu,0.3
Lower Manya,0.3833333333333333
La Nkwantanang Madina,0.4
Nadowli / Kaleo,0.4
Tarkwa Nsuaem,0.4
Builsa South,0.4
Adenta,0.4
Jirapa,0.4
Garu Tempane,0.45
Akatsi South,0.45
Kwaebibirem,0.45
Binduri,0.4666666666666667
Gomoa East,0.5
Kpone Katamanso,0.5
Ga Central Municipal,0.6
Birim North,0.65
Wassa Amenfi West,0.6666666666666666
Asante Akim Central Municipal,0.6833333333333333
Saboba,0.8
Agona East,0.8
Banda,0.8
Ejisu Juaben,0.95
Adansi South,1.0
Ellembelle,1.0
Tamale North Sub Metro,1.0
Bole,1.0499999999999998
Kumbumgu,1.1
Wa East,1.1333333333333333
Shai Osu Doku,1.25
Biakoye,1.3
Wassa Amenfi East,1.4
Wa West,1.5166666666666666
Ningo Prampram,1.6
Kasena Nankana East,1.7333333333333334
Bosomtwe / Atwima / Kwanwoma,1.7999999999999998
North Tongu,1.9
Fanteakwa,2.0
Wassa Amenfi Central,2.0
Gomoa West,2.05
Nanumba North,2.25
Aowin,2.3
Mamprugu Moagduri,2.5
Nzema East,2.533333333333333
Yendi Municipal,2.6
Nkwanta North,2.7
North Gonja,2.9333333333333336
Tema Metropolis,3.0
Prestea / Huni Valley,3.033333333333333
Builsa North,3.066666666666667
Sefwi Bibiani / Anhwiaso Bekwai,3.533333333333333
Kwahu South,3.5999999999999996
Atiwa,3.6
Wassa East,3.6
Ahanta West,3.7
Upper Manya,3.8
Obuasi Municipal,4.0
Savelugu Nanton,4.0
Pru,4.05
Upper Denkyira West,5.0
Amansie Central,5.666666666666666
Atwima Mponua,5.7
Twifo Ati-Morkwa,5.8500000000000005
South Tongu,6.300000000000001
Sene West,8.0
Asuogyaman,8.233333333333334
Nkwanta South,9.2
Central Tongu,9.35
Mfantsiman,10.15
Cape Coast Metro,10.633333333333333
South Dayi,10.966666666666667
Kintampo North,11.649999999999999
West Mamprusi,11.966666666666667
Shama,13.500000000000002
Amansie West,15.016666666666667
Krachi West,19.45
Kwahu Afram Plains South,20.05
Kpandai,23.46666666666667
Ekumfi,23.833333333333336
Jomoro,29.4
Krachi East,30.666666666666664
Kwahu Afram Plains North,37.25
Krachi Nchumuru,39.93333333333334
Ada East,41.63333333333333
Sene East,48.7
Ketu South,63.3
Komenda Edna Eguafo / Abirem,113.46666666666667
Ada West,128.53333333333333
Keta Municipal,140.96666666666667
Accra Metropolis,156.45
East Gonja,257.9833333333333
Ga South,276.3666666666666
Gonja Central,365.68333333333334
