Region,Flooded Area Impacted
Kumbumgu,149.6
East Gonja,129.48
Savelugu Nanton,123.38
West Mamprusi,116.22
Gonja Central,108.67
Kwahu Afram Plains North,95.13
Krachi East,86.52
Saboba,78.02
Kwahu Afram Plains South,73.76
Mamprugu Moagduri,72.83
Sene East,72.08
Chereponi,60.75
Tolon,59.31
Pru,54.05
North Gonja,42.18
Kpandai,34.62
Karaga,31.33
Sene West,28.77
Krachi West,27.27
Nkwanta North,26.42
Nanumba North,24.7
Nanumba South,22.21
Krachi Nchumuru,20.8
Biakoye,19.14
Asante Akim North,16.92
Mion,10.38
Mion,10.38
Builsa South,9.87
Upper Manya,9.53
Yendi Municipal,8.77
Kwahu South,7.12
Kwahu South,7.12
Kwahu South,7.12
Kpando Municipal,7.01
Kasena Nankana East,6.58
Kasena Nankana East,6.58
Kasena Nankana East,6.58
Zabzugu,6.47
Kintampo North,6.23
Tatale,5.83
West Gonja,5.41
Tamale North Sub Metro,5.29
Fanteakwa,4.32
North Dayi,4.02
Nkwanta South,3.95
Kasena Nankana West,3.43
Kasena Nankana West,3.43
Bole,3.03
South Dayi,2.99
Wa East,2.93
Bawku West,2.93
Talensi,2.83
Sissala East,2.78
Bunkpurugu Yonyo,2.46
Afadzato South,2.23
Asuogyaman,1.99
Atwima Nwabiagya,1.93
Ga South,1.9
Binduri,1.82
Banda,1.82
Builsa North,1.62
Aowin,1.44
Lawra,1.26
Ekumfi,1.26
Mamprusi East,1.18
Lower Manya,1.12
Amansie Central,1.11
Assin North,1.05
Bongo,1.01
Jirapa,0.96
Twifo Ati-Morkwa,0.96
Garu Tempane,0.87
Upper Denkyira West,0.83
Mfantsiman,0.81
Amansie West,0.8
Wa West,0.78
Ejisu Juaben,0.76
Sissala  West,0.75
Nadowli / Kaleo,0.69
South Tongu,0.66
Wassa East,0.62
Atwima Mponua,0.54
Bekwai Municipal,0.53
Gushiegu,0.51
Bosomtwe / Atwima / Kwanwoma,0.51
Nandom,0.48
Bolgatanga Municipal,0.47
West Akim,0.42
Wassa Amenfi East,0.36
Gomoa West,0.32
Yilo Krobo,0.28
Wa Municipal,0.27
Ajumako / Enyan / Esiam,0.26
Jomoro,0.25
Adansi South,0.23
Nabdam,0.23
Tema Metropolis,0.22
Effutu,0.21
Lambussie Karni,0.2
Daffiama Bussie,0.19
Obuasi Municipal,0.19
Awutu Senya West,0.18
Awutu Senya West,0.18
Wassa Amenfi Central,0.17
Birim Municipal,0.15
Prestea / Huni Valley,0.13
Sawla / Tuna / Kalba,0.13
Accra Metropolis,0.13
Cape Coast Metro,0.13
Birim South,0.12
Pusiga,0.12
Bodi,0.1
Central Tongu,0.1
Agona West,0.1
Denkyembour,0.09
Sefwi-Wiawso,0.08
Bawku Municipal,0.08
Gomoa East,0.08
Sefwi Bibiani / Anhwiaso Bekwai,0.07
Ningo Prampram,0.07
Wassa Amenfi West,0.06
Kadjebi,0.06
Kadjebi,0.06
Birim North,0.06
Atwima Kwanwoma,0.06
Ga Central Municipal,0.06
Assin South,0.06
Asunafo North,0.05
Asutifi North,0.05
Upper West Akim,0.05
Kwahu East,0.05
Ahafo Ano South,0.05
Dormaa Municipal,0.05
Berekum,0.05
Juabeso,0.04
Suaman,0.04
North Tongu,0.04
Asante Akim Central Municipal,0.04
Kma,0.04
Kpone Katamanso,0.04
Twifo Lower Denkyira,0.04
Awutu Senya East Municipal,0.04
Sefwi Akontombra,0.03
Nzema East,0.03
Ahanta West,0.03
Asutifi South,0.03
Akyem Mansa,0.03
Sagnerigu,0.03
Sunyani Municipal,0.03
Tarkwa Nsuaem,0.02
Atebubu Amantin,0.02
Asunafo South,0.02
Adansi North,0.02
Abura / Asebu / Kwamankese,0.02
Upper Denkyira East,0.02
Bia West,0.01
Shama,0.01
Ellembelle,0.01
Hohoe Municipal,0.01
Kwabre,0.01
Bosome Freho,0.01
Asante Akim South,0.01
Bosome Freho,0.01
Ledzokuku / Krowor,0.01
Shai Osu Doku,0.01
Ada East,0.01
Ga West,0.01
Komenda Edna Eguafo / Abirem,0.01
Asikuma / Odoben / Brakwa,0.01
Agona East,0.01
Jaman North,0.01
Tain,0.01
Bia East,0
Sekondi Takoradi,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Ho West,0
Akatsi North,0
Ketu South,0
Ketu North,0
Keta Municipal,0
Akatsi South,0
Adaklu,0
Tano South,0
Tano North,0
Jasikan,0
Kwaebibirem,0
Akwapem North,0
Ayensuano,0
East Akim,0
Atiwa,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akwapem South,0
New Juaben Municipal,0
Kwahu West,0
Asokore Mampong Municipal,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Sekyere East,0
Offinso North,0
Sekyere Central,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Offinso Municipal,0
Ejura Sekye Dumase,0
Afigya Kwabre,0
Adenta,0
La Nkwantanang Madina,0
Ada West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Sunyani West,0
Dormaa West,0
Jaman South,0
Dormaa East,0
Wenchi,0
