Region,Flooded Area Impacted
West Mamprusi,203.95
East Gonja,192.38
Mamprugu Moagduri,178.13
Kumbumgu,159.46
Savelugu Nanton,154.1
Gonja Central,123.72
Karaga,104.64
Sene East,87.55
Kwahu Afram Plains North,80.22
Krachi East,77.45
Kpandai,72.57
Kwahu Afram Plains South,70.06
Nanumba North,62.13
Pru,61.35
Keta Municipal,58.61
Tolon,54.22
Bole,53.93
North Gonja,44.41
Banda,42.41
Kasena Nankana East,38.32
Kasena Nankana East,38.32
Kasena Nankana East,38.32
Krachi West,37.77
Saboba,36.09
Builsa South,36.08
Nanumba South,34.07
Nkwanta North,28.95
Krachi Nchumuru,28.5
Ketu South,27.3
Sene West,26.01
Asante Akim North,22.23
Chereponi,22.21
Talensi,19.22
Kintampo North,16.44
Mion,16.13
Mion,16.13
Biakoye,15.33
Ada East,15.27
Wa West,14.07
Builsa North,14.02
Lawra,13.89
Upper Manya,12.89
Nadowli / Kaleo,12.09
Sawla / Tuna / Kalba,11.65
Wa East,10.99
Bawku West,10.88
Nandom,10.8
Amansie West,10.78
West Gonja,10.68
Binduri,10.32
Nkwanta South,9.84
Sissala East,9.73
South Tongu,9.57
Ga South,8.8
Kwahu South,8.78
Kwahu South,8.78
Kwahu South,8.78
Yendi Municipal,8.52
Asuogyaman,8.5
Garu Tempane,7.78
Ningo Prampram,7.69
Jomoro,7.62
Atwima Mponua,7.41
Mamprusi East,7.34
Ada West,6.87
Bolgatanga Municipal,6.77
Tamale North Sub Metro,6.64
Kpando Municipal,6.59
Jirapa,6.59
North Dayi,6.44
Kasena Nankana West,6.25
Kasena Nankana West,6.25
Bunkpurugu Yonyo,5.84
North Tongu,5.44
Nzema East,5.36
Gushiegu,5.11
Shai Osu Doku,4.93
Ketu North,4.83
South Dayi,4.72
Fanteakwa,4.72
Aowin,4.66
Afadzato South,4.61
Prestea / Huni Valley,4.54
Atebubu Amantin,4.46
Tarkwa Nsuaem,4.17
Ekumfi,4.07
Zabzugu,3.67
Tatale,3.3
Central Tongu,2.9
Komenda Edna Eguafo / Abirem,2.78
Ellembelle,2.74
Ahanta West,2.63
Akatsi South,2.63
Bongo,2.41
Sissala  West,2.38
Lower Manya,2.36
Wassa Amenfi East,2.34
Assin North,2.34
Ga East,2.27
Bawku Municipal,2.15
Ga West,2.13
Amansie Central,2.1
Wassa Amenfi West,1.98
Wassa Amenfi Central,1.96
Shama,1.95
Gomoa West,1.88
Daffiama Bussie,1.77
Twifo Ati-Morkwa,1.76
Upper Denkyira West,1.72
Atiwa,1.71
Suaman,1.54
Asante Akim Central Municipal,1.44
Ejisu Juaben,1.42
Gomoa East,1.39
Mfantsiman,1.38
Adansi South,1.35
Birim North,1.29
Pusiga,1.25
Asante Akim South,1.22
Sekyere Central,1.18
La Nkwantanang Madina,0.95
Nabdam,0.87
Asutifi North,0.85
Bosome Freho,0.85
Bosome Freho,0.85
Nsawam Adoagyiri,0.83
Kpone Katamanso,0.83
Effutu,0.81
West Akim,0.8
Bekwai Municipal,0.73
Wassa East,0.69
Awutu Senya East Municipal,0.68
Kwaebibirem,0.67
Akyem Mansa,0.66
Sekyere Afram Plains North,0.66
Cape Coast Metro,0.64
Lambussie Karni,0.63
Denkyembour,0.63
Bosomtwe / Atwima / Kwanwoma,0.58
Accra Metropolis,0.51
Awutu Senya West,0.51
Awutu Senya West,0.51
Upper Denkyira East,0.5
Birim South,0.45
Sekondi Takoradi,0.43
Adansi North,0.42
Atwima Nwabiagya,0.41
Yilo Krobo,0.38
Offinso North,0.37
Sefwi Bibiani / Anhwiaso Bekwai,0.36
Akatsi North,0.36
Obuasi Municipal,0.35
Bodi,0.34
Mpohor,0.34
Tema Metropolis,0.34
Adaklu,0.32
Nkoranza South,0.3
Juabeso,0.29
Adenta,0.28
Agona West,0.28
Agotime Ziope,0.27
Ajumako / Enyan / Esiam,0.26
Atwima Kwanwoma,0.25
Ga Central Municipal,0.23
Kadjebi,0.21
Kadjebi,0.21
La Dade Kotopon,0.21
East Akim,0.18
Wenchi,0.18
Hohoe Municipal,0.17
Sefwi Akontombra,0.16
Akwapem North,0.16
Abura / Asebu / Kwamankese,0.16
Agona East,0.15
Kintampo South,0.14
Sagnerigu,0.14
Akwapem South,0.13
Ahafo Ano South,0.13
Ledzokuku / Krowor,0.13
Nkoranza North,0.12
Birim Municipal,0.12
Berekum,0.12
Tain,0.11
Ho Municipal,0.1
Ho Municipal,0.1
Ho Municipal,0.1
Tano North,0.1
Asutifi South,0.07
Ayensuano,0.06
Sefwi-Wiawso,0.05
Ho West,0.05
Ho West,0.05
Suhum Municipal,0.05
New Juaben Municipal,0.05
Sunyani West,0.05
Sunyani Municipal,0.05
Bia West,0.04
Sekyere East,0.04
Kma,0.04
Ahafo Ano North,0.03
Ashaiman,0.03
Assin South,0.03
Techiman Municipal,0.02
Mampong Municipal,0.02
Twifo Lower Denkyira,0.02
Bia East,0.01
Asunafo North,0.01
Asunafo South,0.01
Tano South,0.01
Kwahu East,0.01
Offinso Municipal,0.01
Ejura Sekye Dumase,0.01
Techiman North,0
Jasikan,0
Wa Municipal,0
Upper West Akim,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Sekyere South,0
Sekyere Kumawu,0
Afigya Kwabre,0
Asikuma / Odoben / Brakwa,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Dormaa East,0
