Region,Roads Impacted
Ga East,39696
West Mamprusi,32255
Krachi Nchumuru,24121
Ga West,18954
Bole,16879
Ga South,15640
Banda,15050
La Nkwantanang Madina,14156
Savelugu Nanton,13058
Gomoa East,12150
Kpandai,12055
Awutu Senya East Municipal,11790
Kumbumgu,11449
Ketu South,10848
Chereponi,9157
Accra Metropolis,8674
South Tongu,8613
Keta Municipal,8402
Kpone Katamanso,8264
Karaga,7630
Tarkwa Nsuaem,6570
Ketu North,5433
Nanumba North,5392
Ningo Prampram,5320
Gomoa West,5270
Kwaebibirem,4360
Cape Coast Metro,4360
Saboba,4235
Sissala  West,4031
Mion,4000
Mion,4000
Lawra,3611
Komenda Edna Eguafo / Abirem,3500
Akatsi South,3440
Nandom,3416
Adenta,3176
East Gonja,3131
Kasena Nankana East,3106
Kasena Nankana East,3106
Kasena Nankana East,3106
Central Tongu,2967
Shai Osu Doku,2860
La Dade Kotopon,2860
Sekondi Takoradi,2570
Birim North,2520
Gonja Central,2458
Aowin,2314
Jomoro,2256
Sissala East,2240
Ahanta West,2090
Atwima Mponua,2050
Prestea / Huni Valley,1940
Nadowli / Kaleo,1830
Nzema East,1810
West Gonja,1806
Juabeso,1760
Nsawam Adoagyiri,1680
Asuogyaman,1660
Mamprugu Moagduri,1650
Akwapem North,1592
Builsa South,1574
Abura / Asebu / Kwamankese,1500
Krachi East,1489
Berekum,1470
Kpando Municipal,1456
Ekumfi,1390
North Tongu,1260
Garu Tempane,1220
Amansie West,1210
Bunkpurugu Yonyo,1140
Ga Central Municipal,1130
Nkwanta South,1110
Sawla / Tuna / Kalba,1110
Wa West,1100
Ellembelle,1090
Tolon,1074
Nanumba South,1052
Krachi West,1050
Bolgatanga Municipal,1048
Jirapa,1030
Bekwai Municipal,1000
Builsa North,926
Upper Denkyira West,910
Binduri,900
Agona West,885
Nkwanta North,863
Atiwa,840
Kintampo North,827
Asante Akim South,810
Kwahu Afram Plains North,800
Ajumako / Enyan / Esiam,800
Sene East,730
Kasena Nankana West,720
Kasena Nankana West,720
Bongo,680
New Juaben Municipal,668
North Gonja,665
Daffiama Bussie,650
Sekyere Central,650
Atebubu Amantin,620
Yendi Municipal,596
Effutu,590
Mfantsiman,580
Awutu Senya West,560
Awutu Senya West,560
Agona East,525
Assin South,520
Sekyere Afram Plains North,510
Ada West,480
Ada East,460
Sunyani West,456
Pusiga,417
Ashaiman,400
Adaklu,390
Bawku Municipal,389
Bosome Freho,380
Bosome Freho,380
Upper Manya,340
Kwahu Afram Plains South,320
Zabzugu,310
Asante Akim Central Municipal,310
Gushiegu,300
Sene West,290
Akatsi North,287
Hohoe Municipal,280
Fanteakwa,270
Shama,240
Pru,240
Adansi South,236
Mpohor,220
Ejisu Juaben,210
Suaman,200
Afadzato South,199
Mamprusi East,180
East Akim,180
Bodi,160
Ho Municipal,160
Ho Municipal,160
Ho Municipal,160
Atwima Kwanwoma,160
Tatale,154
Yilo Krobo,150
Agotime Ziope,130
Lower Manya,130
Bawku West,130
Twifo Ati-Morkwa,130
Wa East,120
Talensi,115
Sefwi Akontombra,110
Tamale North Sub Metro,110
Jasikan,100
Akwapem South,100
Upper Denkyira East,100
Tema Metropolis,80
Bia West,60
Wassa Amenfi East,60
Akyem Mansa,60
North Dayi,55
Wassa Amenfi West,50
Denkyembour,50
Lambussie Karni,49
Kadjebi,40
Kadjebi,40
Sunyani Municipal,34
Wassa East,30
West Akim,20
Sagnerigu,20
Adansi North,20
Amansie Central,20
Assin North,14
Biakoye,11
Asutifi North,10
Kwahu South,10
Kwahu South,10
Kwahu South,10
Wenchi,10
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Bia East,0
Wassa Amenfi Central,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Techiman North,0
Ho West,0
Ho West,0
South Dayi,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Tano South,0
Tano North,0
Wa Municipal,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
Birim South,0
Suhum Municipal,0
Kwahu East,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Sekyere East,0
Offinso North,0
Obuasi Municipal,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Atwima Nwabiagya,0
Afigya Kwabre,0
Nabdam,0
Ledzokuku / Krowor,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Dormaa East,0
Tain,0
