Region,Flooded Area Impacted
West Mamprusi,145.18
Kumbumgu,125.11
Gonja Central,113.2
Savelugu Nanton,107.13
Karaga,98.56
Mamprugu Moagduri,93.07
East Gonja,84.33
Chereponi,66.52
Sene East,65.34
Saboba,54.35
Kwahu Afram Plains North,52.96
North Gonja,51.72
Kwahu Afram Plains South,51.37
Tolon,47.09
Krachi East,45.16
Pru,40.51
Kpandai,31.68
Krachi West,24.82
Nkwanta North,23.97
Krachi Nchumuru,20.99
Nanumba South,20.4
Builsa South,20.33
Sene West,19.67
Kasena Nankana East,17.27
Kasena Nankana East,17.27
Kasena Nankana East,17.27
Asante Akim North,15.13
Nanumba North,14.87
Talensi,13.35
Bunkpurugu Yonyo,10.53
Kintampo North,9.74
Kwahu South,8.28
Kwahu South,8.28
Kwahu South,8.28
Yendi Municipal,8.14
Fanteakwa,7.95
West Gonja,7.63
Upper Manya,7.55
Wa East,7.2
Nkwanta South,6.41
Builsa North,6.32
Mamprusi East,6.26
Biakoye,6.03
Bole,5.44
Zabzugu,5.15
Mion,5.08
Mion,5.08
Lawra,4.9
Gushiegu,4.89
Bawku West,4.55
Tatale,4.52
Sissala East,4.16
Kasena Nankana West,4.15
Kasena Nankana West,4.15
Binduri,3.89
Nandom,3.68
Nadowli / Kaleo,3.65
Kpando Municipal,3.17
Tamale North Sub Metro,2.96
North Dayi,2.91
Jirapa,2.53
South Dayi,2.49
Garu Tempane,2.21
Afadzato South,1.86
Asuogyaman,1.54
Bolgatanga Municipal,1.53
Ahanta West,1.41
Bawku Municipal,1.28
Shama,1.23
Wa West,1.23
Keta Municipal,1.1
Komenda Edna Eguafo / Abirem,1.06
Bongo,0.98
Ekumfi,0.98
Banda,0.96
Daffiama Bussie,0.89
Lower Manya,0.81
Ga South,0.72
Akatsi South,0.54
Mfantsiman,0.5
Pusiga,0.42
Central Tongu,0.37
Aowin,0.33
Nabdam,0.31
Yilo Krobo,0.28
Ketu South,0.26
Nzema East,0.25
Gomoa West,0.25
Effutu,0.22
South Tongu,0.16
Prestea / Huni Valley,0.13
Juabeso,0.12
Amansie West,0.11
Sekyere Afram Plains North,0.1
Wassa Amenfi West,0.09
Sagnerigu,0.09
Sefwi Akontombra,0.08
Suaman,0.07
Bodi,0.07
Wa Municipal,0.07
Kwahu East,0.07
Wassa East,0.06
Lambussie Karni,0.06
Sawla / Tuna / Kalba,0.05
Ga West,0.05
Awutu Senya West,0.05
Gomoa East,0.05
Awutu Senya West,0.05
Sekondi Takoradi,0.04
Denkyembour,0.04
Wassa Amenfi Central,0.03
Asunafo South,0.03
Asutifi North,0.03
Accra Metropolis,0.03
Ga Central Municipal,0.03
Ningo Prampram,0.03
Sunyani Municipal,0.03
Sefwi-Wiawso,0.02
Wassa Amenfi East,0.02
Jomoro,0.02
Kintampo South,0.02
Atwima Mponua,0.02
Awutu Senya East Municipal,0.02
Dormaa Municipal,0.02
Bia East,0.01
Ellembelle,0.01
Asutifi South,0.01
Kwaebibirem,0.01
Ayensuano,0.01
West Akim,0.01
Atiwa,0.01
Nsawam Adoagyiri,0.01
Sekyere Central,0.01
Ahafo Ano South,0.01
Upper Denkyira West,0.01
Sefwi Bibiani / Anhwiaso Bekwai,0
Bia West,0
Tarkwa Nsuaem,0
Mpohor,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Ho West,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
North Tongu,0
Adaklu,0
Asunafo North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Sissala  West,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
East Akim,0
Birim South,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Obuasi Municipal,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ada West,0
Ada East,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Cape Coast Metro,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Assin North,0
Agona East,0
Sunyani West,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Tain,0
