Region,People Impacted
Ga South,299
Accra Metropolis,164
Ajumako / Enyan / Esiam,140
Gomoa East,134
Bolgatanga Municipal,111
Assin South,108
Kma,100
Krachi East,84
Shama,81
Birim Municipal,72
Sagnerigu,72
Adansi South,72
Komenda Edna Eguafo / Abirem,69
Sekondi Takoradi,66
Effutu,64
Pusiga,58
Karaga,56
Awutu Senya East Municipal,56
West Akim,54
Wa East,51
Mamprugu Moagduri,50
Ada East,50
Jomoro,44
Wassa Amenfi West,42
Prestea / Huni Valley,42
Hohoe Municipal,42
Gomoa West,42
Aowin,40
Tarkwa Nsuaem,40
Biakoye,40
Yendi Municipal,39
Kasena Nankana West,39
Kasena Nankana West,39
Ga West,39
Agona West,39
Twifo Lower Denkyira,39
Mfantsiman,38
Keta Municipal,36
Savelugu Nanton,33
Mamprusi East,32
Ahanta West,31
Bunkpurugu Yonyo,31
Talensi,30
East Gonja,29
Cape Coast Metro,29
Denkyembour,27
Atiwa,27
Birim North,26
Mion,26
Mion,26
Ketu South,24
Akyem Mansa,24
New Juaben Municipal,24
Obuasi Municipal,24
Nadowli / Kaleo,20
Wassa East,18
Sawla / Tuna / Kalba,18
Garu Tempane,18
Upper Denkyira West,18
Nsawam Adoagyiri,16
Builsa North,16
Sefwi Akontombra,15
Kwahu Afram Plains South,15
Kwahu Afram Plains North,15
Kasena Nankana East,15
Kasena Nankana East,15
Kasena Nankana East,15
Wassa Amenfi Central,14
Bole,14
Shai Osu Doku,14
Sunyani West,14
Techiman Municipal,12
Asutifi South,12
Jirapa,12
Kwahu South,12
Kwahu South,12
Kwahu South,12
Tamale North Sub Metro,12
Agona East,12
Ho West,11
Ho West,11
Lambussie Karni,11
Ekumfi,11
Ellembelle,10
Jasikan,10
West Mamprusi,10
Suhum Municipal,10
Ejisu Juaben,10
Juabeso,9
Nkwanta North,9
Krachi Nchumuru,9
Adansi North,9
Ga Central Municipal,9
South Tongu,8
Gonja Central,8
Bawku West,8
Banda,8
Techiman North,6
Asutifi North,6
Lawra,6
Tolon,6
Sunyani Municipal,5
Atwima Nwabiagya,4
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Nzema East,0
Wassa Amenfi East,0
Mpohor,0
Sene West,0
Kintampo South,0
Sene East,0
Pru,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Kintampo North,0
Ho Municipal,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Central Tongu,0
Kpando Municipal,0
Afadzato South,0
Akatsi North,0
Ketu North,0
North Dayi,0
South Dayi,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Tano South,0
Tano North,0
Kadjebi,0
Nkwanta South,0
Kadjebi,0
Krachi West,0
Nandom,0
Sissala East,0
Sissala  West,0
Wa West,0
Daffiama Bussie,0
Wa Municipal,0
Chereponi,0
West Gonja,0
North Gonja,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Lower Manya,0
Ayensuano,0
East Akim,0
Birim South,0
Asuogyaman,0
Fanteakwa,0
Upper Manya,0
Akwapem South,0
Kwahu East,0
Kwahu West,0
Tatale,0
Nanumba South,0
Zabzugu,0
Saboba,0
Kpandai,0
Gushiegu,0
Kumbumgu,0
Nanumba North,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Amansie Central,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Atwima Mponua,0
Bekwai Municipal,0
Afigya Kwabre,0
Builsa South,0
Binduri,0
Bongo,0
Bawku Municipal,0
Nabdam,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Ada West,0
Ningo Prampram,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Awutu Senya West,0
Asikuma / Odoben / Brakwa,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Tain,0
