Region,Flooded Area Impacted
Kwahu Afram Plains North,1138.66
Sene East,871.59
Krachi East,863.18
Krachi West,569.81
Kwahu Afram Plains South,539.63
East Gonja,527.44
Biakoye,341.37
Asuogyaman,264.86
Pru,250.45
Gonja Central,232.21
North Dayi,212.24
Kpandai,201.12
Krachi Nchumuru,199.85
Banda,197.27
Upper Manya,174.55
Sene West,167.13
Bole,163.05
Keta Municipal,156.02
South Dayi,122.96
Kwahu South,101.29
Kwahu South,101.29
Kwahu South,101.29
Kpando Municipal,91.91
Fanteakwa,91.46
Kumbumgu,79.17
West Mamprusi,61.95
Nkwanta North,61.44
Savelugu Nanton,55.61
Bosomtwe / Atwima / Kwanwoma,46.73
Ada West,45.84
Nkwanta South,45.34
Nanumba North,42.24
Ada East,39.18
Kintampo North,32.84
Nanumba South,32.11
Ga South,30.17
Ketu South,30.08
Mamprugu Moagduri,29.14
North Gonja,23.13
Lower Manya,22.02
North Tongu,21.78
Tolon,21.16
South Tongu,21.13
Asante Akim North,20.81
Saboba,19.65
Karaga,17.57
Afadzato South,15.67
Chereponi,12.77
Kasena Nankana West,10.11
Kasena Nankana West,10.11
Central Tongu,9.46
Shai Osu Doku,9.4
Jomoro,8.83
Kasena Nankana East,8.07
Kasena Nankana East,8.07
Kasena Nankana East,8.07
Ningo Prampram,7.89
Lawra,7.14
Wa West,6.86
Wassa East,6.51
Builsa South,6.27
Yendi Municipal,5.97
Bongo,5.3
Nadowli / Kaleo,5.21
Builsa North,5.06
Nandom,4.91
Binduri,4.91
Ekumfi,4.9
Mion,4.87
Mion,4.87
West Gonja,4.73
Bawku West,4.63
Zabzugu,4.58
Ketu North,3.92
Jirapa,3.69
Sawla / Tuna / Kalba,3.51
Twifo Ati-Morkwa,3.41
Upper Denkyira West,3.21
Amansie West,3.17
Atwima Nwabiagya,3.12
Shama,3.11
Ahanta West,3.06
Wa East,2.97
Akatsi South,2.92
Nzema East,2.9
Prestea / Huni Valley,2.88
Effutu,2.71
Mamprusi East,2.67
Assin North,2.67
Tarkwa Nsuaem,2.65
Gomoa West,2.64
Kpone Katamanso,2.31
Talensi,2.15
Komenda Edna Eguafo / Abirem,2.11
Garu Tempane,2.08
Asutifi North,2.02
Bunkpurugu Yonyo,1.83
Atwima Mponua,1.82
Mfantsiman,1.82
Sissala  West,1.61
Sissala East,1.45
Ga Central Municipal,1.45
Tamale North Sub Metro,1.44
Aowin,1.36
Tatale,1.34
Birim North,1.2
Wassa Amenfi Central,1.13
Wassa Amenfi East,1.04
Amansie Central,0.96
Sefwi Bibiani / Anhwiaso Bekwai,0.94
Adansi South,0.92
Obuasi Municipal,0.89
Lambussie Karni,0.87
Cape Coast Metro,0.81
Wassa Amenfi West,0.78
Tema Metropolis,0.73
Upper Denkyira East,0.69
Wa Municipal,0.68
Bolgatanga Municipal,0.67
Bawku Municipal,0.62
West Akim,0.55
Gomoa East,0.5
Atiwa,0.47
Ellembelle,0.43
Daffiama Bussie,0.43
Pusiga,0.38
Adenta,0.37
Ajumako / Enyan / Esiam,0.35
Awutu Senya West,0.35
Awutu Senya West,0.35
Gushiegu,0.3
Accra Metropolis,0.3
Yilo Krobo,0.29
Kwahu West,0.29
Denkyembour,0.28
Atebubu Amantin,0.25
Nabdam,0.19
Adaklu,0.18
Birim Municipal,0.18
Akatsi North,0.16
Afigya Kwabre,0.16
Awutu Senya East Municipal,0.16
Kintampo South,0.14
Abura / Asebu / Kwamankese,0.13
Atwima Kwanwoma,0.11
Sekondi Takoradi,0.1
La Dade Kotopon,0.1
Kwaebibirem,0.08
Agona East,0.08
Kwahu East,0.07
Tain,0.07
Sagnerigu,0.06
Ledzokuku / Krowor,0.06
Ga West,0.06
East Akim,0.05
Asante Akim Central Municipal,0.05
Mpohor,0.03
Twifo Lower Denkyira,0.03
Ho West,0.02
Ho West,0.02
Birim South,0.02
Akwapem South,0.02
Bosome Freho,0.02
Bosome Freho,0.02
Ejisu Juaben,0.02
Ahafo Ano South,0.02
Bekwai Municipal,0.02
Sefwi-Wiawso,0.01
Ho Municipal,0.01
Ho Municipal,0.01
Agotime Ziope,0.01
Ho Municipal,0.01
Asutifi South,0.01
Nsawam Adoagyiri,0.01
Sekyere East,0.01
Adansi North,0.01
Sekyere Central,0.01
Sekyere Afram Plains North,0.01
Ejura Sekye Dumase,0.01
La Nkwantanang Madina,0.01
Ashaiman,0.01
Dormaa Municipal,0.01
Berekum,0.01
Wenchi,0.01
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Techiman North,0
Hohoe Municipal,0
Asunafo North,0
Asunafo South,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Akwapem North,0
Upper West Akim,0
Ayensuano,0
Suhum Municipal,0
Akyem Mansa,0
New Juaben Municipal,0
Asokore Mampong Municipal,0
Kwabre,0
Asante Akim South,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Offinso North,0
Ahafo Ano North,0
Kma,0
Offinso Municipal,0
Ga East,0
Assin South,0
Agona West,0
Asikuma / Odoben / Brakwa,0
Sunyani West,0
Dormaa West,0
Jaman South,0
Jaman North,0
Dormaa East,0
Sunyani Municipal,0
