Region,Flooded Area Impacted
Kwahu Afram Plains North,1163.65
Sene East,903.61
Krachi East,887.93
East Gonja,590.7
Krachi West,583.11
Kwahu Afram Plains South,561.14
Biakoye,345.68
Gonja Central,271.27
Pru,270.11
Asuogyaman,266.64
Kpandai,225.15
North Dayi,213.57
Krachi Nchumuru,208.67
Banda,205.87
Keta Municipal,182.6
Sene West,178.38
Upper Manya,177.99
Bole,173.85
Kumbumgu,143.83
West Mamprusi,129.07
South Dayi,124.19
Kwahu South,103.47
Kwahu South,103.47
Kwahu South,103.47
Savelugu Nanton,103.01
Fanteakwa,93.65
Kpando Municipal,93.58
Nkwanta North,68.64
Mamprugu Moagduri,64.41
Nanumba North,59.18
Ada West,49.39
North Gonja,49.23
Tolon,49.05
Nkwanta South,48.04
Bosomtwe / Atwima / Kwanwoma,47.01
Kintampo North,43.31
Saboba,42.82
Ada East,42.67
Nanumba South,42.53
Karaga,40.56
Ketu South,38
Ga South,31.73
Asante Akim North,27.98
South Tongu,25.33
North Tongu,24.53
Chereponi,23.14
Lower Manya,22.8
Kasena Nankana East,18.64
Kasena Nankana East,18.64
Kasena Nankana East,18.64
Afadzato South,16.91
Builsa South,16.79
Wa West,14.02
Jomoro,13.57
Lawra,12.42
Ningo Prampram,11.75
Shai Osu Doku,11.65
Central Tongu,10.95
Kasena Nankana West,10.79
Kasena Nankana West,10.79
Amansie West,10.77
Yendi Municipal,9.88
Nadowli / Kaleo,9.77
Mion,9.31
Mion,9.31
West Gonja,9.08
Upper Denkyira West,8.34
Wassa East,7.87
Talensi,7.68
Binduri,7.46
Nandom,7.44
Ekumfi,7.3
Zabzugu,6.31
Bawku West,6.27
Nzema East,5.94
Prestea / Huni Valley,5.86
Builsa North,5.82
Jirapa,5.74
Wassa Amenfi Central,5.61
Bongo,5.53
Atwima Mponua,5.5
Tamale North Sub Metro,5.43
Wassa Amenfi East,5.33
Tarkwa Nsuaem,4.87
Ketu North,4.82
Sawla / Tuna / Kalba,4.82
Wa East,4.53
Shama,4.26
Twifo Ati-Morkwa,4.16
Bunkpurugu Yonyo,4.15
Garu Tempane,3.93
Assin North,3.93
Akatsi South,3.85
Effutu,3.79
Ahanta West,3.67
Gomoa West,3.65
Amansie Central,3.58
Mamprusi East,3.53
Atwima Nwabiagya,3.37
Sissala East,3.27
Asutifi North,2.76
Atiwa,2.73
Komenda Edna Eguafo / Abirem,2.72
Kpone Katamanso,2.61
Wassa Amenfi West,2.48
Tatale,2.48
Aowin,2.37
Mfantsiman,2.25
Adansi South,2.18
Sissala  West,2.02
Birim North,1.84
Ellembelle,1.64
Sefwi Bibiani / Anhwiaso Bekwai,1.53
Ga Central Municipal,1.48
Obuasi Municipal,1.46
Upper Denkyira East,1.46
Atebubu Amantin,1.39
Bolgatanga Municipal,1.26
Lambussie Karni,1.25
Tema Metropolis,1.04
Wa Municipal,0.93
Gushiegu,0.92
Cape Coast Metro,0.91
Bawku Municipal,0.8
Birim Municipal,0.75
West Akim,0.74
Gomoa East,0.74
Daffiama Bussie,0.71
Yilo Krobo,0.65
Denkyembour,0.62
Awutu Senya West,0.59
Awutu Senya West,0.59
Pusiga,0.5
Ajumako / Enyan / Esiam,0.46
Adenta,0.42
Accra Metropolis,0.41
Nabdam,0.4
Kwahu East,0.37
Kwahu West,0.36
Kwaebibirem,0.26
Asante Akim Central Municipal,0.24
Abura / Asebu / Kwamankese,0.24
Adaklu,0.23
Akatsi North,0.22
Afigya Kwabre,0.22
Awutu Senya East Municipal,0.21
Atwima Kwanwoma,0.2
Kintampo South,0.19
Ga West,0.18
Sekondi Takoradi,0.14
Bosome Freho,0.13
Bosome Freho,0.13
Bekwai Municipal,0.12
La Dade Kotopon,0.12
Agona East,0.11
Agotime Ziope,0.1
East Akim,0.1
Ledzokuku / Krowor,0.1
Ahafo Ano South,0.09
Tain,0.09
Sagnerigu,0.08
Ejisu Juaben,0.08
Birim South,0.06
Nsawam Adoagyiri,0.06
Sekyere Central,0.06
Sekyere Afram Plains North,0.06
Ahafo Ano North,0.06
Ejura Sekye Dumase,0.06
Mpohor,0.05
Akwapem South,0.05
Asante Akim South,0.05
Twifo Lower Denkyira,0.05
Suaman,0.04
Ho West,0.04
Ho West,0.04
Berekum,0.04
Ho Municipal,0.03
Ho Municipal,0.03
Ho Municipal,0.03
Adansi North,0.03
La Nkwantanang Madina,0.03
Wenchi,0.03
Sefwi-Wiawso,0.02
Sefwi Akontombra,0.02
Asutifi South,0.02
Ayensuano,0.02
Akyem Mansa,0.02
Ashaiman,0.02
Juabeso,0.01
Nkoranza North,0.01
Hohoe Municipal,0.01
Asunafo North,0.01
Upper West Akim,0.01
Suhum Municipal,0.01
New Juaben Municipal,0.01
Sekyere South,0.01
Sekyere East,0.01
Dormaa Municipal,0.01
Bia East,0
Bia West,0
Bodi,0
Techiman Municipal,0
Nkoranza South,0
Techiman North,0
Asunafo South,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Akwapem North,0
Asokore Mampong Municipal,0
Kwabre,0
Sekyere Kumawu,0
Mampong Municipal,0
Offinso North,0
Kma,0
Offinso Municipal,0
Ga East,0
Assin South,0
Agona West,0
Asikuma / Odoben / Brakwa,0
Sunyani West,0
Dormaa West,0
Jaman South,0
Jaman North,0
Dormaa East,0
Sunyani Municipal,0
