Region,People Impacted
Gonja Central,1896
East Gonja,1352
Ga South,1185
Keta Municipal,983
Accra Metropolis,807
Ada West,658
Komenda Edna Eguafo / Abirem,391
Ketu South,294
Sene East,254
Ada East,230
Kwahu Afram Plains North,225
Krachi Nchumuru,192
Jomoro,163
Ekumfi,132
Kpandai,128
Kwahu Afram Plains South,90
Krachi East,77
Krachi West,69
Mfantsiman,66
Central Tongu,63
South Dayi,63
Amansie West,63
Cape Coast Metro,58
Shama,54
Kintampo North,54
Nkwanta South,43
Asuogyaman,42
Sene West,40
West Mamprusi,40
Twifo Ati-Morkwa,39
Ahanta West,37
Pru,34
Nkwanta North,27
Upper Denkyira West,27
Yendi Municipal,26
South Tongu,24
Kwahu South,24
Kwahu South,24
Kwahu South,24
Amansie Central,24
Mamprugu Moagduri,20
Fanteakwa,20
Upper Manya,19
Sefwi Bibiani / Anhwiaso Bekwai,18
Aowin,18
Wassa East,18
Atiwa,18
Atwima Mponua,18
Builsa North,16
Nanumba North,15
Obuasi Municipal,15
Tema Metropolis,15
Prestea / Huni Valley,14
Gomoa West,14
North Gonja,11
Savelugu Nanton,11
Kasena Nankana East,11
Kasena Nankana East,11
Kasena Nankana East,11
Nzema East,8
Ningo Prampram,8
North Tongu,7
Wa West,7
Bole,7
Shai Osu Doku,7
Tamale North Sub Metro,6
Bosomtwe / Atwima / Kwanwoma,6
Biakoye,5
Wassa Amenfi Central,4
Adenta,4
Wassa Amenfi East,1
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Sekondi Takoradi,0
Wassa Amenfi West,0
Ellembelle,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Ho West,0
Kpando Municipal,0
Afadzato South,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
North Dayi,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Nadowli / Kaleo,0
Lawra,0
Jirapa,0
Nandom,0
Sissala East,0
Sissala  West,0
Lambussie Karni,0
Wa East,0
Daffiama Bussie,0
Wa Municipal,0
Bunkpurugu Yonyo,0
Chereponi,0
Mamprusi East,0
Sawla / Tuna / Kalba,0
West Gonja,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Lower Manya,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Tolon,0
Sagnerigu,0
Tatale,0
Nanumba South,0
Zabzugu,0
Mion,0
Saboba,0
Gushiegu,0
Kumbumgu,0
Karaga,0
Mion,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Sekyere Central,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Kma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Kasena Nankana West,0
Builsa South,0
Binduri,0
Kasena Nankana West,0
Bawku West,0
Pusiga,0
Bongo,0
Bolgatanga Municipal,0
Bawku Municipal,0
Garu Tempane,0
Talensi,0
Nabdam,0
Ledzokuku / Krowor,0
Kpone Katamanso,0
La Nkwantanang Madina,0
Ga Central Municipal,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Effutu,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Agona East,0
Awutu Senya East Municipal,0
Banda,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
