Region,People Impacted
Accra Metropolis,8143
Ga East,6203
Ga South,4921
Gomoa East,3718
Sekondi Takoradi,3652
La Nkwantanang Madina,2888
Gomoa West,2743
Komenda Edna Eguafo / Abirem,2667
Ga West,2510
Jomoro,2485
Awutu Senya East Municipal,2432
Ekumfi,2137
La Dade Kotopon,2009
Krachi East,1947
South Tongu,1722
Aowin,1654
Ketu North,1556
Akatsi South,1341
Ada West,1338
Keta Municipal,1241
Kwaebibirem,1199
Mfantsiman,1072
Kpone Katamanso,1028
Gonja Central,918
Prestea / Huni Valley,840
Krachi West,819
Ajumako / Enyan / Esiam,812
Sene East,802
Ada East,802
East Gonja,792
Central Tongu,777
Sissala  West,735
Kpandai,720
Agona East,662
Asuogyaman,631
Akwapem North,597
Atebubu Amantin,578
Nkwanta North,576
Ketu South,564
Nsawam Adoagyiri,545
Abura / Asebu / Kwamankese,540
Ahanta West,531
Bekwai Municipal,512
Kwahu Afram Plains North,480
Cape Coast Metro,480
North Tongu,471
Asante Akim South,456
Ningo Prampram,456
Amansie West,451
Nanumba North,450
Juabeso,441
Berekum,440
Mpohor,432
Nanumba South,402
Banda,386
Nkwanta South,385
Savelugu Nanton,371
Kpando Municipal,351
Pru,345
Kwahu Afram Plains South,345
Lawra,330
Adaklu,322
Agona West,318
Effutu,288
Afadzato South,280
Sissala East,266
Hohoe Municipal,252
Karaga,245
Shama,243
West Mamprusi,243
Assin South,234
Akyem Mansa,228
Ga Central Municipal,216
Nzema East,192
Bole,189
Atiwa,180
New Juaben Municipal,179
Tarkwa Nsuaem,176
Amansie Central,172
Twifo Lower Denkyira,169
Atwima Mponua,162
Adenta,162
Upper Manya,151
Twifo Ati-Morkwa,143
Mamprugu Moagduri,130
East Akim,117
Zabzugu,110
Wassa East,108
Kma,100
Sefwi Bibiani / Anhwiaso Bekwai,92
Birim North,91
Suaman,90
Kadjebi,88
Kadjebi,88
Ellembelle,82
Kasena Nankana East,79
Kasena Nankana East,79
Kasena Nankana East,79
Mion,78
Mion,78
Ho Municipal,77
Ho Municipal,77
Ho Municipal,77
Kintampo North,75
Ashaiman,75
Tatale,64
Shai Osu Doku,61
Sefwi Akontombra,60
Sunyani West,56
Builsa North,54
Bosome Freho,49
Bosome Freho,49
Jirapa,48
Obuasi Municipal,45
Agotime Ziope,42
Tamale North Sub Metro,42
Sene West,40
Daffiama Bussie,40
West Akim,39
Bunkpurugu Yonyo,38
Kwahu South,36
Kwahu South,36
Kwahu South,36
Wa West,35
Yilo Krobo,35
Bolgatanga Municipal,35
Lower Manya,34
Kumbumgu,34
Akwapem South,32
Bawku West,32
Awutu Senya West,32
Awutu Senya West,32
Saboba,29
South Dayi,28
Upper Denkyira West,27
Biakoye,25
Wassa Amenfi East,24
West Gonja,22
North Gonja,22
Ejisu Juaben,21
Jasikan,20
Fanteakwa,20
Asante Akim Central Municipal,20
Bia West,18
Akatsi North,18
Wassa Amenfi West,16
Mamprusi East,16
Atwima Kwanwoma,16
Gushiegu,14
Yendi Municipal,13
Nandom,12
Tema Metropolis,10
Denkyembour,9
Sekyere Afram Plains North,9
Bongo,9
Builsa South,8
Talensi,8
Asutifi North,6
Sawla / Tuna / Kalba,6
Tolon,6
Sagnerigu,6
Kasena Nankana West,6
Kasena Nankana West,6
Bawku Municipal,6
Nadowli / Kaleo,4
Sefwi-Wiawso,0
Bia East,0
Bodi,0
Wassa Amenfi Central,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Techiman North,0
Ho West,0
Ho West,0
North Dayi,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Tano South,0
Tano North,0
Krachi Nchumuru,0
Lambussie Karni,0
Wa East,0
Wa Municipal,0
Chereponi,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
Birim South,0
Suhum Municipal,0
Kwahu East,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Sekyere East,0
Offinso North,0
Adansi North,0
Sekyere Central,0
Ahafo Ano North,0
Bosomtwe / Atwima / Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Nwabiagya,0
Afigya Kwabre,0
Binduri,0
Pusiga,0
Garu Tempane,0
Nabdam,0
Ledzokuku / Krowor,0
Asikuma / Odoben / Brakwa,0
Upper Denkyira East,0
Assin North,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
