Region,Flooded Area Impacted
Kwahu Afram Plains North,1096.09
Sene East,831.59
Krachi East,827.3
Krachi West,553.57
Kwahu Afram Plains South,511.01
East Gonja,480.39
Biakoye,334.34
Asuogyaman,262.93
Pru,230.07
North Dayi,210.21
Gonja Central,200.5
Krachi Nchumuru,187.63
Kpandai,172.71
Upper Manya,168.66
Sene West,155.6
Keta Municipal,135.08
Banda,128.12
South Dayi,120.82
Bole,112.58
Kwahu South,98.67
Kwahu South,98.67
Kwahu South,98.67
Kpando Municipal,88.9
Fanteakwa,88.73
Nkwanta North,52.06
Bosomtwe / Atwima / Kwanwoma,46.56
Ada West,43.25
Nkwanta South,41.75
Ada East,37.05
Ga South,28.43
Kumbumgu,25.57
Ketu South,25.08
Kintampo North,24.87
Nanumba North,24.47
Nanumba South,23.13
Savelugu Nanton,21.82
Lower Manya,20.79
North Tongu,20.53
South Tongu,18.51
West Mamprusi,15.84
Afadzato South,13.78
Asante Akim North,11.46
North Gonja,10.79
Kasena Nankana West,9.53
Kasena Nankana West,9.53
Central Tongu,8.58
Shai Osu Doku,8.45
Karaga,8.24
Saboba,7.87
Mamprugu Moagduri,7.49
Jomoro,7.42
Tolon,7.3
Chereponi,6.4
Ningo Prampram,5.71
Kasena Nankana East,5.35
Kasena Nankana East,5.35
Kasena Nankana East,5.35
Wassa East,5.23
Bongo,5.07
Wa West,4.98
Builsa North,4.42
Binduri,4.24
Lawra,4.22
Yendi Municipal,4.16
Zabzugu,3.96
Bawku West,3.87
Ketu North,3.64
Nandom,3.34
Ekumfi,3.31
Sawla / Tuna / Kalba,3.03
Atwima Nwabiagya,2.95
Akatsi South,2.72
Twifo Ati-Morkwa,2.66
Nadowli / Kaleo,2.5
Shama,2.46
Mion,2.41
Mion,2.41
Ahanta West,2.33
Mamprusi East,2.33
West Gonja,2.32
Jirapa,2.24
Gomoa West,2.08
Kpone Katamanso,2.06
Effutu,2.01
Builsa South,1.83
Garu Tempane,1.74
Wa East,1.66
Komenda Edna Eguafo / Abirem,1.57
Assin North,1.5
Talensi,1.47
Ga Central Municipal,1.41
Mfantsiman,1.33
Sissala  West,1.3
Asutifi North,1.07
Nzema East,1.05
Tatale,0.95
Sissala East,0.92
Prestea / Huni Valley,0.91
Bunkpurugu Yonyo,0.85
Tamale North Sub Metro,0.81
Tarkwa Nsuaem,0.8
Cape Coast Metro,0.72
Lambussie Karni,0.68
Tema Metropolis,0.59
Bawku Municipal,0.53
Aowin,0.49
Sefwi Bibiani / Anhwiaso Bekwai,0.45
West Akim,0.45
Bolgatanga Municipal,0.42
Wa Municipal,0.4
Daffiama Bussie,0.35
Amansie West,0.33
Pusiga,0.31
Adenta,0.31
Obuasi Municipal,0.27
Gomoa East,0.27
Ajumako / Enyan / Esiam,0.26
Upper Denkyira West,0.26
Accra Metropolis,0.23
Ellembelle,0.21
Awutu Senya West,0.2
Awutu Senya West,0.2
Wassa Amenfi West,0.19
Adansi South,0.18
Kwahu West,0.17
Adaklu,0.13
Gushiegu,0.13
Upper Denkyira East,0.12
Kintampo South,0.11
Afigya Kwabre,0.11
Nabdam,0.11
Awutu Senya East Municipal,0.11
Atwima Mponua,0.1
Yilo Krobo,0.09
Akatsi North,0.08
Wassa Amenfi Central,0.07
Wassa Amenfi East,0.07
Denkyembour,0.07
Atwima Kwanwoma,0.06
La Dade Kotopon,0.06
Sekondi Takoradi,0.05
Atebubu Amantin,0.05
Birim Municipal,0.05
Birim North,0.05
Agona East,0.05
Tain,0.05
Sagnerigu,0.04
Amansie Central,0.04
Ledzokuku / Krowor,0.04
East Akim,0.03
Abura / Asebu / Kwamankese,0.03
Mpohor,0.02
Atiwa,0.02
Ga West,0.02
Ho Municipal,0.01
Ho West,0.01
Ho Municipal,0.01
Agotime Ziope,0.01
Ho Municipal,0.01
Ho West,0.01
Akwapem South,0.01
Asante Akim Central Municipal,0.01
Sekyere East,0.01
Sekyere Central,0.01
Sekyere Afram Plains North,0.01
Ahafo Ano South,0.01
Ejura Sekye Dumase,0.01
Bekwai Municipal,0.01
La Nkwantanang Madina,0.01
Ashaiman,0.01
Twifo Lower Denkyira,0.01
Dormaa Municipal,0.01
Wenchi,0.01
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Techiman North,0
Hohoe Municipal,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Kwaebibirem,0
Akwapem North,0
Upper West Akim,0
Ayensuano,0
Birim South,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Kwahu East,0
New Juaben Municipal,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Ahafo Ano North,0
Kma,0
Offinso Municipal,0
Ga East,0
Assin South,0
Agona West,0
Asikuma / Odoben / Brakwa,0
Sunyani West,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Sunyani Municipal,0
